female,read,write,math,hon,femalexmath
0,57,52,41,0,0
1,68,59,53,0,53
0,44,33,54,0,0
0,63,44,47,0,0
0,47,52,57,0,0
0,44,52,51,0,0
0,50,59,42,0,0
0,34,46,45,0,0
0,63,57,54,0,0
0,57,55,52,0,0
0,60,46,51,0,0
0,57,65,51,1,0
0,73,60,71,0,0
0,54,63,57,1,0
0,45,57,50,0,0
0,42,49,43,0,0
0,47,52,51,0,0
0,57,57,60,0,0
0,68,65,62,1,0
0,55,39,57,0,0
0,63,49,35,0,0
0,63,63,75,1,0
0,50,40,45,0,0
0,60,52,57,0,0
0,37,44,45,0,0
0,34,37,46,0,0
0,65,65,66,1,0
0,47,57,57,0,0
0,44,38,49,0,0
0,52,44,49,0,0
0,42,31,57,0,0
0,76,52,64,0,0
0,65,67,63,1,0
0,42,41,57,0,0
0,52,59,50,0,0
0,60,65,58,1,0
0,68,54,75,0,0
0,65,62,68,1,0
0,47,31,44,0,0
0,39,31,40,0,0
0,47,47,41,0,0
0,55,59,62,0,0
0,52,54,57,0,0
0,42,41,43,0,0
0,65,65,48,1,0
0,55,59,63,0,0
0,50,40,39,0,0
0,65,59,70,0,0
0,47,59,63,0,0
0,57,54,59,0,0
0,53,61,61,1,0
0,39,33,38,0,0
0,44,44,61,0,0
0,63,59,49,0,0
0,73,62,73,1,0
0,39,39,44,0,0
0,37,37,42,0,0
0,42,39,39,0,0
0,63,57,55,0,0
0,48,49,52,0,0
0,50,46,45,0,0
0,47,62,61,1,0
0,44,44,39,0,0
0,34,33,41,0,0
0,50,42,50,0,0
0,44,41,40,0,0
0,60,54,60,0,0
0,47,39,47,0,0
0,63,43,59,0,0
0,50,33,49,0,0
0,44,44,46,0,0
0,60,54,58,0,0
0,73,67,71,1,0
0,68,59,58,0,0
0,55,45,46,0,0
0,47,40,43,0,0
0,55,61,54,1,0
0,68,59,56,0,0
0,31,36,46,0,0
0,47,41,54,0,0
0,63,59,57,0,0
0,36,49,54,0,0
0,68,59,71,0,0
0,63,65,48,1,0
0,55,41,40,0,0
0,55,62,64,1,0
0,52,41,51,0,0
0,34,49,39,0,0
0,50,31,40,0,0
0,55,49,61,0,0
0,52,62,66,1,0
0,63,49,49,0,0
1,68,62,65,1,65
1,39,44,52,0,52
1,44,44,46,0,46
1,50,62,61,1,61
1,71,65,72,1,72
1,63,65,71,1,71
1,34,44,40,0,40
1,63,63,69,1,69
1,68,60,64,0,64
1,47,59,56,0,56
1,47,46,49,0,49
1,63,52,54,0,54
1,52,59,53,0,53
1,55,54,66,0,66
1,60,62,67,1,67
1,35,35,40,0,40
1,47,54,46,0,46
1,71,65,69,1,69
1,57,52,40,0,40
1,44,50,41,0,41
1,65,59,57,0,57
1,68,65,58,1,58
1,73,61,57,1,57
1,36,44,37,0,37
1,43,54,55,0,55
1,73,67,62,1,62
1,52,57,64,0,64
1,41,47,40,0,40
1,60,54,50,0,50
1,50,52,46,0,46
1,50,52,53,0,53
1,47,46,52,0,52
1,47,62,45,1,45
1,55,57,56,0,56
1,50,41,45,0,45
1,39,53,54,0,54
1,50,49,56,0,56
1,34,35,41,0,41
1,57,59,54,0,54
1,57,65,72,1,72
1,68,62,56,1,56
1,42,54,47,0,47
1,61,59,49,0,49
1,76,63,60,1,60
1,47,59,54,0,54
1,46,52,55,0,55
1,39,41,33,0,33
1,52,49,49,0,49
1,28,46,43,0,43
1,42,54,50,0,50
1,47,42,52,0,52
1,47,57,48,0,48
1,52,59,58,0,58
1,47,52,43,0,43
1,50,62,41,1,41
1,44,52,43,0,43
1,47,41,46,0,46
1,45,55,44,0,44
1,47,37,43,0,43
1,65,54,61,0,61
1,43,57,40,0,40
1,47,54,49,0,49
1,57,62,56,1,56
1,68,59,61,0,61
1,52,55,50,0,50
1,42,57,51,0,51
1,42,39,42,0,42
1,66,67,67,1,67
1,47,62,53,1,53
1,57,50,50,0,50
1,47,61,51,1,51
1,57,62,72,1,72
1,52,59,48,0,48
1,44,44,40,0,40
1,50,59,53,0,53
1,39,54,39,0,39
1,57,62,63,1,63
1,57,60,51,0,51
1,42,57,45,0,45
1,47,46,39,0,39
1,42,36,42,0,42
1,60,59,62,0,62
1,44,49,44,0,44
1,63,60,65,0,65
1,65,67,63,1,63
1,39,54,54,0,54
1,50,52,45,0,45
1,52,65,60,1,60
1,60,62,49,1,49
1,44,49,48,0,48
1,52,67,57,1,57
1,55,65,55,1,55
1,50,67,66,1,66
1,65,65,64,1,64
1,52,54,55,0,55
1,47,44,42,0,42
1,63,62,56,1,56
1,50,46,53,0,53
1,42,54,41,0,41
1,36,57,42,0,42
1,50,52,53,0,53
1,41,59,42,0,42
1,47,65,60,1,60
1,55,59,52,0,52
1,42,46,38,0,38
1,57,41,57,0,57
1,55,62,58,1,58
1,63,65,65,1,65
